Stock/Index,Option,Trigger Price,Target price,Stop Loss,Message,Timestamp
BANKNIFTY,50500PE,430,600,SL Paid,"**INDEX OPTION LOVERS ❤️💖 

BUY BANKNIFTY 50500PE ABOVE 430 TRG 600-700-800 SL PAID

UPDATE 1 -- 520🔥🔥
TRG 1 -- 600🚀🚀
TRG 2 -- 700🎯🎯
HIGH -- 712💰💰

Safe traders can book rest trailing sl ✅**",2024-08-16 12:16:43+00:00
BANKNIFTY,50400PE,422,500,SL Paid,"**INDEX OPTION LOVERS ❤️💖 

BUY BANKNIFTY 50400PE ABOVE 422 TRG 500-600-700 SL PAID

UPDATE 1 -- 460🔥🔥
TRG 1 -- 500🚀🚀
TRG 2-- 600🎯🎯
HIGH -- 641💰💰

Safe traders can book rest trailing sl ✅**",2024-08-16 12:16:43+00:00
SENSEX,79900PE,172,250,SL Paid,"**HERO ZERO INDEX OPTION LOVERS ❤️💖 

BUY SENSEX 79900PE ABOVE 172 TRG 250/350/500 SL PAID

UPDATE 1 -- 210🔥🔥
TRG 1 -- 250🚀🚀
TRG 2 -- 350🎯🎯
HIGH -- 471💰💰

3L++ Profit running on just 1000 quantity can see investment growing faster 😍😍**",2024-08-16 12:16:43+00:00
MARUTI,12300PE,178,230,SL Paid,"**STOCK OPTION LOVERS ❤️💖 

BUY MARUTI 12300PE ABOVE 178 TRG 230-310 SL PAID

Update -1-200🔥🔥🔥
Update -2-216🎯🎯🎯

Safe traders can book rest Trailing sl**",2024-08-16 12:16:43+00:00
BANKNIFTY,50500PE,430,600,SL Paid,"**INDEX OPTION LOVERS ❤️💖 

BUY BANKNIFTY 50500PE ABOVE 430 TRG 600-700-800 SL PAID

UPDATE 1 -- 520🔥🔥
TRG 1 -- 600🚀🚀
HIGH -- 683💰💰

Safe traders can book rest trailing sl ✅**",2024-08-16 12:16:43+00:00
BANKNIFTY,50400PE,422,500,SL Paid,"**INDEX OPTION LOVERS ❤️💖 

BUY BANKNIFTY 50400PE ABOVE 422 TRG 500-600-700 SL PAID

UPDATE 1 -- 460🔥🔥
TRG 1 -- 500🚀🚀
TRG 2-- 600🎯🎯
HIGH -- 615💰💰

Safe traders can book rest trailing sl ✅**",2024-08-16 12:16:43+00:00
SENSEX,79900PE,172,250,SL Paid,"HERO ZERO INDEX OPTION LOVERS ❤️💖 

BUY SENSEX 79900PE ABOVE 172 TRG 250/350/500 SL PAID

**UPDATE 1 -- 210**🔥🔥
**TRG 1 -- 250**🚀🚀
**HIGH -- 320**💰💰

**1.5L++ Profit running on just 1000 quantity can see investment growing faster 😍😍**",2024-08-16 12:16:43+00:00
BANKNIFTY,50500PE,430,600,SL Paid,"INDEX OPTION LOVERS ❤️💖 

BUY BANKNIFTY 50500PE ABOVE 430 TRG 600-700-800 SL PAID

**UPDATE 1 -- 520**🔥🔥
**TRG 1 -- 600**🚀🚀
**HIGH -- 617**💰💰

Safe traders can book rest trailing sl ✅",2024-08-16 12:16:42+00:00
BANKNIFTY,50400PE,422,500,SL Paid,"INDEX OPTION LOVERS ❤️💖 

BUY BANKNIFTY 50400PE ABOVE 422 TRG 500-600-700 SL PAID

**UPDATE 1 -- 460**🔥🔥
**TRG 1 -- 500**🚀🚀
**HIGH -- 504**💰💰

Safe traders can book rest trailing sl ✅",2024-08-16 12:16:42+00:00
BANKNIFTY,50500PE,430,600,SL Paid,"**INDEX OPTION LOVERS ❤️💖 

BUY BANKNIFTY 50500PE ABOVE 430 TRG 600-700-800 SL PAID**",2024-08-16 04:07:36+00:00
SENSEX,79900PE,172,250,SL Paid,"**HERO ZERO INDEX OPTION LOVERS ❤️💖 

BUY SENSEX 79900PE ABOVE 172 TRG 250/350/500 SL PAID**",2024-08-16 04:07:36+00:00
MARUTI,12300PE,178,230,SL Paid,"**STOCK OPTION LOVERS ❤️💖 

BUY MARUTI 12300PE ABOVE 178 TRG 230-310 SL PAID**",2024-08-16 04:07:35+00:00
BANKNIFTY,50400PE,422,500,SL Paid,"**INDEX OPTION LOVERS ❤️💖 

BUY BANKNIFTY 50400PE ABOVE 422 TRG 500-600-700 SL PAID**",2024-08-16 04:07:35+00:00
FINNIFTY,22850PE,45,80,SL Paid,"**HERO ZERO INDEX OPTION LOVERS ❤️💖 

BUY FINNIFTY 22850PE ABOVE 45 TRG 80/120/160 SL PAID**",2024-08-13 06:39:59+00:00
FINNIFTY,22750CE,65,110,SL Unpaid,"**HERO ZERO INDEX OPTION LOVERS ❤️💖 

BUY FINNIFTY 22750CE ABOVE 65 TRG 110/140/190 SL 30

UPDATE -1-85🔥🔥🔥🔥
HIGH---- 100🎯🎯🎯🎯

Safe traders can book rest Trailing sl**",2024-08-13 06:39:59+00:00
FINNIFTY,22750CE,65,110,SL Unpaid,"**HERO ZERO INDEX OPTION LOVERS ❤️💖 

BUY FINNIFTY 22750CE ABOVE 65 TRG 110/140/190 SL 30**",2024-08-13 06:39:59+00:00
BANKNIFTY,50000 CE,407,500,SL Paid,"**INDEX OPTION LOVERS ❤️💖 

BUY BANKNIFTY 50000 CE ABOVE 407 TRG 500-700 SL PAID

UPDATE -1 462😍😍😍😍
UPDATE -2-477🎯🎯🎯

Safe traders can book rest Trailing sl**",2024-08-13 06:39:59+00:00
BANKNIFTY,50000 CE,407,500,SL Paid,"**INDEX OPTION LOVERS ❤️💖 

BUY BANKNIFTY 50000 CE ABOVE 407 TRG 500-700 SL PAID**",2024-08-13 05:14:40+00:00
MARUTI,12400CE,185,230,SL Paid,"**STOCK OPTION LOVERS ❤️💖 

BUY MARUTI 12400CE ABOVE 185 TRG 230-310 SL PAID

UPDATE -1-203🔥🔥🔥🔥

Safe traders can book rest Trailing sl**",2024-08-13 04:37:04+00:00
FINNIFTY,22900CE,90,140,SL Paid,"**HERO ZERO INDEX OPTION LOVERS ❤️💖 

BUY FINNIFTY 22900CE ABOVE 90 TRG 140/190/250 SL PAID**",2024-08-13 04:36:45+00:00
FINNIFTY,23000PE,70,100,SL Unpaid,"**BTST HERO ZERO INDEX OPTION LOVERS ❤️💖 

BUY FINNIFTY 23000PE ABOVE 70 TRG 100/140/290 SL 35

UPDATE -1-85🔥🔥🔥🔥
TARGET -1-100🎯🎯🎯🎯
TARGET -2-140🎯🎯🎯🎯
HIGH-174🔥🔥🔥🔥🔥🔥

Huge Profit booked In BTST**",2024-08-13 04:36:45+00:00
FINNIFTY,22900CE,71,100,SL Paid,"**HERO ZERO INDEX OPTION LOVERS ❤️💖 

BUY FINNIFTY 22900CE ABOVE 71 TRG 100/140/290 SL PAID

Update -1-79😍😍😍😍😍

Safe traders can book rest Trailing sl**",2024-08-13 04:36:45+00:00
BANKNIFTY,50200 CE,430,500,SL Paid,"**INDEX OPTION LOVERS ❤️💖 

BUY BANKNIFTY 50200 CE ABOVE 430 TRG 500-700 SL PAID

UPDATE -1-472😍😍😍😍

Safe traders can book rest Trailing sl**",2024-08-13 04:36:45+00:00
FINNIFTY,23000PE,70,100,SL Unpaid,"**BTST HERO ZERO INDEX OPTION LOVERS ❤️💖 

BUY FINNIFTY 23000PE ABOVE 70 TRG 100/140/290 SL 35

UPDATE -1-85🔥🔥🔥🔥
TARGET -1-100🎯🎯🎯🎯
TARGET -2-140🎯🎯🎯🎯
HIGH-155🔥🔥🔥🔥🔥🔥

Safe traders can book rest Trailing sl**",2024-08-13 04:36:45+00:00
MARUTI,12400CE,185,230,SL Paid,"**STOCK OPTION LOVERS ❤️💖 

BUY MARUTI 12400CE ABOVE 185 TRG 230-310 SL PAID**",2024-08-13 04:36:45+00:00
FINNIFTY,22900CE,71,100,SL Paid,"**HERO ZERO INDEX OPTION LOVERS ❤️💖 

BUY FINNIFTY 22900CE ABOVE 71 TRG 100/140/290 SL PAID**",2024-08-13 04:36:45+00:00
BANKNIFTY,50200 CE,430,500,SL Paid,"**INDEX OPTION LOVERS ❤️💖 

BUY BANKNIFTY 50200 CE ABOVE 430 TRG 500-700 SL PAID**",2024-08-13 04:36:44+00:00
FINNIFTY,23000PE,70,100,SL Unpaid,"**BTST HERO ZERO INDEX OPTION LOVERS ❤️💖 

BUY FINNIFTY 23000PE ABOVE 70 TRG 100/140/290 SL 35

UPDATE -1-85🔥🔥🔥🔥
TARGET -1-100🎯🎯🎯🎯
HIGH-133🔥🔥🔥🔥🔥🔥

Safe traders can book rest Trailing sl**",2024-08-13 04:36:44+00:00
FINNIFTY,23000PE,70,100,SL Unpaid,"**BTST HERO ZERO INDEX OPTION LOVERS ❤️💖 

BUY FINNIFTY 23000PE ABOVE 70 TRG 100/140/290 SL 35

UPDATE -1-85🔥🔥🔥🔥
TARGET -1-100🎯🎯🎯🎯
HIGH-110🔥🔥🔥🔥🔥🔥

Safe traders can book rest Trailing sl**",2024-08-13 04:36:44+00:00
FINNIFTY,23000PE,70,100,SL Unpaid,"**BTST HERO ZERO INDEX OPTION LOVERS ❤️💖 

BUY FINNIFTY 23000PE ABOVE 70 TRG 100/140/290 SL 35**",2024-08-13 04:36:44+00:00
BANKNIFTY,50900 PE,390,470,SL Unpaid,"**INDEX OPTION LOVERS ❤️💖 

BUY BANKNIFTY 50900 PE ABOVE 390 TRG 470-600-700 SL 300

UPDATE -1-440🔥🔥🔥🔥
TRG-1---470🎯🎯🎯🎯🎯
HIGH-- 517🏆🏆🏆🏆🏆

Safe traders can book rest Trailing sl**",2024-08-12 10:22:10+00:00
BANKNIFTY,50900 PE,390,470,SL Unpaid,"**INDEX OPTION LOVERS ❤️💖 

BUY BANKNIFTY 50900 PE ABOVE 390 TRG 470-600-700 SL 300**",2024-08-12 10:22:10+00:00
NIFTY,12600PE,60,90,SL Unpaid,"**HERO ZERO INDEX OPTION LOVERS ❤️💖 

BUY MIDCPNIFTY 12600PE ABOVE 60 TRG 90/140/290 SL 25

UPDATE -1-75😍😍😍😍
TARGET -1-90🎯🎯🎯🎯
HIGH-98🏆🏆🏆🏆🏆

Safe traders can book rest Trailing sl**",2024-08-12 06:55:45+00:00
NIFTY,12600PE,60,90,SL Unpaid,"**HERO ZERO INDEX OPTION LOVERS ❤️💖 

BUY MIDCPNIFTY 12600PE ABOVE 60 TRG 90/140/290 SL 25**",2024-08-12 06:55:44+00:00
NIFTY,12425CE,70,100,SL Unpaid,"**HERO ZERO INDEX OPTION LOVERS ❤️💖 

BUY MIDCPNIFTY 12425CE ABOVE 70 TRG 100/150/300 SL 30

UPDATE -1- 85😍😍😍😍
TARGET -1-100🎯🎯🎯🎯
HIGH-- 115🔥🔥🔥🔥🔥

Safe traders can book rest Trailing sl**",2024-08-12 05:59:12+00:00
NIFTY,12425CE,70,100,SL Unpaid,"**HERO ZERO INDEX OPTION LOVERS ❤️💖 

BUY MIDCPNIFTY 12425CE ABOVE 70 TRG 100/150/300 SL 30**",2024-08-12 05:59:12+00:00
NIFTY,12600 PE,60,100,SL Paid,"**HERO ZERO INDEX OPTION LOVERS ❤️💖 

BUY MIDCPNIFTY 12600 PE ABOVE 60 TRG 100/170/300 SL PAID

UPDATE -1- 86😍😍😍😍
TARGET -1-100🎯🎯🎯🎯
HIGH - 129🏆🏆🏆🏆

Safe traders can book rest Trailing sl**",2024-08-12 04:40:01+00:00
BANKNIFTY,50500 PE,400,500,SL Paid,"**INDEX OPTION LOVERS ❤️💖 

BUY BANKNIFTY 50500 PE ABOVE 400 TRG 500-700 SL PAID

UPDATE -1- 445😍😍😍😍
TARGET -1-500🎯🎯🎯🎯
HIGH -- 512🏆🏆🏆🏆

Safe traders can book rest Trailing sl**",2024-08-12 04:40:01+00:00
BANKNIFTY,50500 PE,400,500,SL Paid,"**INDEX OPTION LOVERS ❤️💖 

BUY BANKNIFTY 50500 PE ABOVE 400 TRG 500-700 SL PAID

UPDATE -1- 445😍😍😍😍
HIGH -- 490🏆🏆🏆🏆

Safe traders can book rest Trailing sl**",2024-08-12 04:40:00+00:00
NIFTY,12600 PE,60,100,SL Paid,"**HERO ZERO INDEX OPTION LOVERS ❤️💖 

BUY MIDCPNIFTY 12600 PE ABOVE 60 TRG 100/170/300 SL PAID

UPDATE -1- 86😍😍😍😍
HIGH - 89 🏆🏆🏆🏆

Safe traders can book rest Trailing sl**",2024-08-12 04:40:00+00:00
NIFTY,12600 PE,60,100,SL Paid,"**HERO ZERO INDEX OPTION LOVERS ❤️💖 

BUY MIDCPNIFTY 12600 PE ABOVE 60 TRG 100/170/300 SL PAID

UPDATE -1- 86😍😍😍😍

Safe traders can book rest Trailing sl**",2024-08-12 04:40:00+00:00
BANKNIFTY,50500 PE,400,500,SL Paid,"**INDEX OPTION LOVERS ❤️💖 

BUY BANKNIFTY 50500 PE ABOVE 400 TRG 500-700 SL PAID

UPDATE -1- 445😍😍😍😍

Safe traders can book rest Trailing sl**",2024-08-12 04:40:00+00:00
NIFTY,12600 PE,60,100,SL Paid,"**HERO ZERO INDEX OPTION LOVERS ❤️💖 

BUY MIDCPNIFTY 12600 PE ABOVE 60 TRG 100/170/300 SL PAID**",2024-08-12 04:40:00+00:00
MARUTI,12100PE,158,230,SL Paid,"**STOCK OPTION LOVERS ❤️💖 

BUY MARUTI 12100PE ABOVE 158 TRG 230-310 SL PAID**",2024-08-12 04:40:00+00:00
BANKNIFTY,50500 PE,400,500,SL Paid,"**INDEX OPTION LOVERS ❤️💖 

BUY BANKNIFTY 50500 PE ABOVE 400 TRG 500-700 SL PAID**",2024-08-12 04:40:00+00:00
NIFTY,22550 PE,45,90,SL Unpaid,"**HERO ZERO  INDEX OPTION LOVERS ❤️💖 

BUY NIFTY 22550 PE ABOVE 45 TRG 90-140-200++ SL 00**",2024-04-04 05:22:17+00:00
MARUTI,12400 PE,180,250,SL Paid,"**STOCK OPTION LOVERS ❤️💖 

BUY MARUTI 12400 PE ABOVE 180 TRG 250-320-400 SL PAID**",2024-04-04 05:22:16+00:00
BANKNIFTY,48200 PE,370,550,SL Paid,"**RISKY INDEX OPTION LOVERS ❤️💖 

BUY BANKNIFTY 48200 PE ABOVE 370 TRG 550-750 SL PAID**",2024-04-04 05:22:16+00:00
FINNIFTY,20650 PE,75,140,SL Paid,"**HERO ZERO INDEX OPTION LOVERS ❤️💖

BUY FINNIFTY 20650 PE ABOVE 75 TRG 140-220-300 SL PAID**",2024-03-19 08:49:55+00:00
MARUTI,11700 PE,190,260,SL Paid,"STOCK OPTION LOVERS ❤️💖

BUY MARUTI 11700 PE ABOVE 190 TRG 260-350 SL PAID

**UPDATE 1 -- 220🔥🔥
UPDATE 2 -- 246**🚀🚀

Safe traders can book rest trailing sl ✅",2024-03-19 08:49:54+00:00
FINNIFTY,20600 PE,60,120,SL Paid,"HERO ZERO INDEX OPTION LOVERS ❤️💖

BUY FINNIFTY 20600 PE NEAR 60 TRG 120-180-240 SL PAID

**UPDATE 1 -- 80**🔥🔥

Safe traders can book rest trailing sl ✅",2024-03-19 08:49:54+00:00
MARUTI,11700 PE,190,260,SL Paid,"STOCK OPTION LOVERS ❤️💖

BUY MARUTI 11700 PE ABOVE 190 TRG 260-350 SL PAID

**UPDATE 1 -- 220**🔥🔥

Safe traders can book rest trailing sl ✅",2024-03-19 08:49:54+00:00
FINNIFTY,20600 PE,60,120,SL Paid,"**HERO ZERO INDEX OPTION LOVERS ❤️💖

BUY FINNIFTY 20600 PE NEAR 60 TRG 120-180-240 SL PAID**",2024-03-19 08:49:45+00:00
MARUTI,11700 PE,190,260,SL Paid,"**STOCK OPTION LOVERS ❤️💖

BUY MARUTI 11700 PE ABOVE 190 TRG 260-350 SL PAID**",2024-03-19 08:49:45+00:00
BANKNIFTY,46800 PE,430,600,SL Paid,"**INDEX OPTION LOVERS ❤️💖

BUY BANKNIFTY 46800 PE ABOVE 430 TRG 600-800 SL PAID**",2024-03-19 08:49:45+00:00
MIDCAPNIFTY,10525 PE,65,120,SL Paid,"HERO ZERO INDEX OPTION LOVERS ❤️💖

BUY MIDCAPNIFTY 10525 PE ABOVE 65 TRG 120-190-250 SL PAID

**UPDATE 1 -- 90🔥🔥
TRG 1 -- 120🚀🚀
HIGH -- 122💰💰

57K++ Profit running on just 1000 quantity can see investment almost double in single trade 😍😍**",2024-03-18 04:47:54+00:00
BANKNIFTY,46600 PE,380,550,SL Paid,"INDEX OPTION LOVERS ❤️💖

BUY BANKNIFTY 46600 PE ABOVE 380 TRG 550-750 SL PAID

**UPDATE 1 -- 440🔥🔥
UPDATE 2 -- 500🚀**🚀

Safe traders can book rest trailing sl ✅",2024-03-18 04:47:54+00:00
BANKNIFTY,46700 PE,420,600,SL Paid,"INDEX OPTION LOVERS ❤️💖

BUY BANKNIFTY 46700 PE ABOVE 420 TRG 600-800 SL PAID

**UPDATE 1 -- 500🔥🔥
UPDATE 2 -- 570🚀🚀**

Safe traders can book rest trailing sl ✅",2024-03-18 04:47:54+00:00
MIDCAPNIFTY,10525 PE,65,120,SL Paid,"HERO ZERO INDEX OPTION LOVERS ❤️💖

BUY MIDCAPNIFTY 10525 PE ABOVE 65 TRG 120-190-250 SL PAID

**UPDATE 1 -- 90🔥🔥
TRG 1 -- 120🚀🚀
HIGH -- 120💰💰

55K++ Profit running on just 1000 quantity can see investment almost double in single trade 😍😍**",2024-03-18 04:47:54+00:00
BANKNIFTY,46600 PE,380,550,SL Paid,"INDEX OPTION LOVERS ❤️💖

BUY BANKNIFTY 46600 PE ABOVE 380 TRG 550-750 SL PAID

**UPDATE 1 -- 440**🔥🔥

Safe traders can book rest trailing sl ✅",2024-03-18 04:47:53+00:00
BANKNIFTY,46700 PE,420,600,SL Paid,"INDEX OPTION LOVERS ❤️💖

BUY BANKNIFTY 46700 PE ABOVE 420 TRG 600-800 SL PAID

**UPDATE 1 -- 500**🔥🔥

Safe traders can book rest trailing sl ✅",2024-03-18 04:47:53+00:00
MIDCAPNIFTY,10525 PE,65,120,SL Paid,"HERO ZERO INDEX OPTION LOVERS ❤️💖

BUY MIDCAPNIFTY 10525 PE ABOVE 65 TRG 120-190-250 SL PAID

**UPDATE 1 -- 80🔥🔥
UPDATE 2 -- 100🚀🚀
HIGH -- 116💰💰

51k++ Profit running on just 1000 quantity can see investment almost double in single trade 😍😍**",2024-03-18 04:47:53+00:00
MIDCAPNIFTY,10525 PE,65,120,SL Paid,"HERO ZERO INDEX OPTION LOVERS ❤️💖

BUY MIDCAPNIFTY 10525 PE ABOVE 65 TRG 120-190-250 SL PAID

**UPDATE 1 -- 80🔥🔥
UPDATE 2 -- 100🚀🚀
**
Safe traders can book rest trailing sl ✅",2024-03-18 04:47:53+00:00
MARUTI,11500 PE,190,270,SL Paid,"STOCK OPTION LOVERS ❤️💖

BUY MARUTI 11500 PE ABOVE 190 TRG 270-340 SL PAID

**UPDATE 1 -- 210**🔥🔥

Safe traders can book rest trailing sl ✅",2024-03-18 04:47:53+00:00
MIDCAPNIFTY,10525 PE,65,120,SL Paid,"HERO ZERO INDEX OPTION LOVERS ❤️💖

BUY MIDCAPNIFTY 10525 PE ABOVE 65 TRG 120-190-250 SL PAID

**UPDATE 1 -- 80**🔥🔥

Safe traders can book rest trailing sl ✅",2024-03-18 04:47:53+00:00
BANKNIFTY,46600 PE,380,550,SL Paid,"**INDEX OPTION LOVERS ❤️💖

BUY BANKNIFTY 46600 PE ABOVE 380 TRG 550-750 SL PAID**",2024-03-18 04:00:05+00:00
MIDCAPNIFTY,10525 PE,65,120,SL Paid,"**HERO ZERO INDEX OPTION LOVERS ❤️💖

BUY MIDCAPNIFTY 10525 PE ABOVE 65 TRG 120-190-250 SL PAID**",2024-03-18 04:00:05+00:00
MARUTI,11500 PE,190,270,SL Paid,"**STOCK OPTION LOVERS ❤️💖

BUY MARUTI 11500 PE ABOVE 190 TRG 270-340 SL PAID**",2024-03-18 04:00:05+00:00
BANKNIFTY,46700 PE,420,600,SL Paid,"**INDEX OPTION LOVERS ❤️💖

BUY BANKNIFTY 46700 PE ABOVE 420 TRG 600-800 SL PAID**",2024-03-18 04:00:05+00:00
NIFTY,21950 CE,65,130,SL Paid,"HERO ZERO INDEX OPTION LOVERS ❤️💖

BUY NIFTY 21950 CE ABOVE 65 TRG 130-180-230 SL PAID

**UPDATE 1 -- 100🔥🔥
UPDATE 2 -- 118🚀🚀
HIGH -- 128💰💰

63k++ Profit running on just 1000 quantity can see investment almost double in single trade 😍😍**",2024-03-14 04:34:41+00:00
NIFTY,21950 CE,65,130,SL Paid,"HERO ZERO INDEX OPTION LOVERS ❤️💖

BUY NIFTY 21950 CE ABOVE 65 TRG 130-180-230 SL PAID

**UPDATE 1 -- 100🔥🔥
UPDATE 2 -- 118🚀🚀

53k++ Profit running on just 1000 quantity can see investment almost double in single trade 😍😍**",2024-03-14 04:34:41+00:00
BANKNIFTY,47000 CE,380,550,SL Paid,"INDEX OPTION LOVERS ❤️💖

BUY BANKNIFTY 47000 CE ABOVE 380 TRG 550-750 SL PAID

**UPDATE 1 -- 430🔥🔥
UPDATE 2 -- 458.80**🚀🚀

Safe traders can book rest trailing sl ✅",2024-03-14 04:34:41+00:00
BANKNIFTY,46900 CE,410,600,SL Paid,"INDEX OPTION LOVERS ❤️💖

BUY BANKNIFTY 46900 CE ABOVE 410 TRG 600-800 SL PAID

**UPDATE 1 -- 480🔥🔥
UPDATE 2 -- 510🚀**🚀

Safe traders can book rest trailing sl ✅",2024-03-14 04:34:41+00:00
MARUTI,11400 CE,190,260,SL Paid,"STOCK OPTION LOVERS ❤️💖

BUY MARUTI 11400 CE ABOVE 190 TRG 260-350 SL PAID

**UPDATE 1 -- 210🔥🔥
UPDATE 2 -- 230🚀🚀
**
Safe traders can book rest trailing sl ✅",2024-03-14 04:34:41+00:00
BANKNIFTY,47000 CE,380,550,SL Paid,"INDEX OPTION LOVERS ❤️💖

BUY BANKNIFTY 47000 CE ABOVE 380 TRG 550-750 SL PAID

**UPDATE 1 -- 430**🔥🔥

Safe traders can book rest trailing sl ✅",2024-03-14 04:34:41+00:00
MARUTI,11400 CE,190,260,SL Paid,"STOCK OPTION LOVERS ❤️💖

BUY MARUTI 11400 CE ABOVE 190 TRG 260-350 SL PAID

**UPDATE 1 -- 210**🔥🔥

Safe traders can book rest trailing sl ✅",2024-03-14 04:34:41+00:00
NIFTY,21950 CE,65,130,SL Paid,"HERO ZERO INDEX OPTION LOVERS ❤️💖

BUY NIFTY 21950 CE ABOVE 65 TRG 130-180-230 SL PAID

**UPDATE 1 -- 100**🔥🔥

Safe traders can book rest trailing sl ✅",2024-03-14 04:34:40+00:00
BANKNIFTY,46900 CE,410,600,SL Paid,"INDEX OPTION LOVERS ❤️💖

BUY BANKNIFTY 46900 CE ABOVE 410 TRG 600-800 SL PAID

**UPDATE 1 -- 480**🔥🔥

Safe traders can book rest trailing sl ✅",2024-03-14 04:34:40+00:00
BANKNIFTY,47000 CE,380,550,SL Paid,"**INDEX OPTION LOVERS ❤️💖

BUY BANKNIFTY 47000 CE ABOVE 380 TRG 550-750 SL PAID**",2024-03-14 04:34:40+00:00
MARUTI,11400 CE,190,260,SL Paid,"**STOCK OPTION LOVERS ❤️💖

BUY MARUTI 11400 CE ABOVE 190 TRG 260-350 SL PAID**",2024-03-14 04:34:40+00:00
NIFTY,21950 CE,65,130,SL Paid,"**HERO ZERO INDEX OPTION LOVERS ❤️💖

BUY NIFTY 21950 CE ABOVE 65 TRG 130-180-230 SL PAID**",2024-03-14 04:34:40+00:00
BANKNIFTY,46900 CE,410,600,SL Paid,"**INDEX OPTION LOVERS ❤️💖

BUY BANKNIFTY 46900 CE ABOVE 410 TRG 600-800 SL PAID**",2024-03-14 04:34:40+00:00
Unmatched,54200 PE,95,140,SL Paid,"**HERO ZERO INDEX OPTION LOVERS ❤️💖

BUY BANKEX 54200 PE ABOVE 95 TRG 140-250-350 SL PAID**",2024-03-12 02:56:50+00:00
BANKNIFTY,47900 PE,380,550,SL Paid,"INDEX OPTION LOVERS ❤️💖

BUY BANKNIFTY 47900 PE ABOVE 380 TRG 550-750 SL PAID

**UPDATE 1 -- 460🔥🔥
UPDATE 2 -- 498🚀🚀
**
Safe traders can book rest trailing sl ✅",2024-03-12 02:55:52+00:00
